"PlotID"	"OTU"	"SYMBIOTROPH"	"PATHOTROPH"	"SAPROTROPH"	"UNKNOWN"	"fw_fr"	"water_fr"	"AMtotal"	"AMvis"	"AMarb"	"C/N_roots"	"K_roots"	"Mg_roots"	"Na_roots"	"P_roots"	"N_litter"	"litterfall"	"basal_respiration"	"microbial_biomass"	"Air_T_95low"	"Soil_T_mean"	"base_saturation"	"pH"	"soil_15N_signature"	"soil_organic_C"	"CN_ratio"	"Bray_extractable_P"	"soil_bulk_density"	"Sand"	"Silt"	"Clay"	"ssc_mean"	"ssc_sd"	"enl_mean"	"enl_sd"	"lon"	"lat"
"BO3"	338	6.7534581	17.57526447	56.63141	19.03987	4.01945312566667	0.732789875666667	86.5371182476835	7.93041891739731	0.605517541001412	65.550804506673	1.146853555	0.776661306	0.461791512666667	0.380730943333333	15.321028	8.81	3.705419947	340.2858136	21.5	26.0633948	30.0320524726808	4.485	4.41	3.069274	14.10651	6.9037034	0.89	16	33	51	3.934426724	0.637257335	8.575167566	0.651080137	12	22
"BO4"	348	1.9528072	22.7827501	52.5630618	22.70138	7.11855717	0.741597518	70.5321244060381	2.40003346008158	2.78305137759157	63.8033073870583	0.617926408	0.698505452666667	0.429038222333333	0.217458190333333	8.78261466666667	5.98	8.14833293	778.9925064	21.69	25.72218425	58.1130192840759	4.418	4.66	3.479196	13.21162	4.054406	0.92	11.2	37	51.8	4.23240605	0.88263096	6.680012941	0.973400789	5	20
"HF1"	393	4.4751831	17.33116363	47.19283697	31.00081	8.845992435	0.725995814666667	73.9475928133333	1.38429752066667	20.5562114666667	41.5506144434727	0.859420391666667	1.48513103333333	0.344943207666667	0.313678079	13.4301393333333	6.56	5.639100386	436.7487542	22.13	25.75164464	10.7781890575899	4.369	3.71	2.275785	14.18237	0.667028	0.96	27.95	50.1461581291758	21.9038418708242	6.014224359	1.315911518	19.60851216	2.544211037	33	30
"HF2"	327	1.5459723	15.78519153	59.96745697	22.70138	8.339310723	0.726373006	69.86521739	1.87777777766667	12.97874396	43.775622718268	0.815697677	1.24270496233333	0.474437598666667	0.273947609666667	13.1712733333333	6.62	6.018149619	381.4964778	22.0915	25.85082861	9.10752673961038	4.341	4.26	2.528187427	14.1773437	0.3638475	1.02	34.7000000000003	44.4376790830945	20.8623209169053	7.204890732	0.736388462	16.56873626	2.520203063	31	31
"HF3"	172	3.0105777	4.31244922	67.94141483	24.73556	7.596447576	0.72011461	86.50850715	6.96646802133333	11.031329622	40.9802864966486	0.744878904666667	1.12010799766667	0.596549788666667	0.260313114	13.30094	7.4	5.057246581	482.3465473	21.96	24.48108703	10.8460641362961	4.262	4.54	2.647500052	13.8877632	0.3139646	1.02	54.45	21.0230769230769	24.5269230769231	7.446596776	1.247859778	18.70250324	3.778429555	30	32
"HF4"	324	8.4621644	13.10008169	48.1692409	30.26851	10.6014979216667	0.690557175333333	77.57201646	3.59053497966667	6.62551440333333	41.6754239169546	0.796980638	1.234592618	0.48794804	0.248634169666667	12.0588167333333	5.76	5.103079411	428.6474374	22.03	24.98338644	11.6410658170627	4.176	4.56	3.111060719	14.8741872	0.6722089	1.14	39	38.5	22.4	7.890242683	1.151243619	16.15252848	2.956647244	32	33
"HJ1"	444	0.8136697	29.78030915	48.0878809	21.31814	5.42067459066667	0.771262895666667	92.81420765	9.34426229666667	8.87522768533333	34.5044443035833	1.207749573	1.76764261933333	0.262803843	0.395423763	13.734668	6.69	4.4913429	667.2792001	21.8	25.10372304	9.83202017092573	4.249	4.5	2.457427766	11.7774798	0.5062553	0.83	4.14999999999964	49.4072164948455	47	5.988068914	1.169476851	13.69414095	1.240075744	18	12
"HJ3"	425	2.1155411	24.32872266	39.70707572	33.84866	4.76420532366667	0.714956421666667	67.38095238	3.21067821066667	12.564935066	45.0509149742577	1.077593382	1.77748070533333	0.188947347666667	0.240046620666667	16.94401	5.16	3.894129542	408.2404815	21.79	25.77356208	19.5055473054849	4.403	4.59	2.209592771	13.3948116	0.6287532	0.94	67.399999999999	6.14321608040244	27	6.803638832	1.066274173	11.89531226	1.955530645	27	5
"HJ4"	468	3.2546786	14.64605383	44.26362448	37.83564	7.29308181966667	0.702252651666667	68.8785218766667	3.531953649	5.25723753066667	34.8701372176394	1.08573140866667	1.20710259466667	0.25814645	0.327626948666667	14.014054	5.74	5.22109115	325.6151936	21.7435	25.12760744	18.825916210174	4.347	4.23	2.409710441	14.1691241	0.4743768	0.95	41.8	25.2	33.3	7.272084044	1.246078633	10.16482939	2.139891574	25	1
"HR1"	401	1.0577705	27.50203404	46.62327	24.81692	6.84201730633333	0.790347391	90.1092896166667	10.819672131	11.89435337	30.8458158583421	1.92480180233333	2.069349725	0.255413879	0.467541093666667	13.6854653333333	2.89	2.899574617	331.7983191	21.94	26.19369282	42.589585267087	4.755	5.75	1.802241367	9.9178801	0.4326206	1.29	25.5	38.5	36	5.39099789	0.930528171	13.41977285	1.853640708	21	11
"HR2"	425	3.9869813	26.93246557	46.54190786	22.53865	6.72354405666667	0.757591723666667	79.7222222233333	3.33333333366667	15.2777777776667	39.1733083108444	1.18911535233333	1.75672861866667	0.316475606	0.396703862	16.440654	3.39	3.210820848	292.13073	21.94	26.56968237	19.1560658544906	4.484	4.09	2.042033092	11.5384867	0.5385561	1.12	3.599999999999	59.445015416239	36.9549845837619	6.353526436	2.165111232	11.68787121	1.19856739	24	8
"HR3"	432	1.9528072	33.11635509	37.59154	27.3393	6.45902612066667	0.812584318333333	71.5666666666667	3.53297491066667	12.94516129	30.2050680764905	1.00949313333333	0.945234348	0.397883102333333	0.698695270333333	16.4267916666667	2.81	3.093078138	263.1072703	21.62	26.19753667	13.7368189580299	4.361	5.4	1.309203851	12.0573284	0.8784767	1.14	50.2	39.0037593984962	10.7962406015038	3.999045951	0.813426786	12.29064712	0.887790805	28	7
"HR4"	374	3.9056143	22.13181458	41.33442	32.62815	7.15930840333333	0.783786535666667	74.9707602333333	2.77777777766667	10.43859649	33.7798670425699	0.959035388	1.364982129	0.459293229333333	0.395633865333333	13.0197466666667	2.47	4.278895558	582.5662897	21.84	25.77691641	8.72619702977922	4.276	4.6	2.963701297	13.3236485	0.2139207	0.95	22.7499999999998	16.9407894736843	60.3092105263159	5.146866189	1.137707627	11.58953928	0.781438868	19	3
"HO1"	445	1.3832384	23.43368643	55.41090697	19.77217	4.020019759	0.725111125666667	58.3333333333333	8.00161812333333	0.277777777666667	55.7165149385548	1.34628095766667	0.826548138	0.312404903333333	0.334537840333333	12.941639	5.79	4.496420231	507.6880984	21.696	26.35717736	42.4470400251367	4.663	6.04	1.905395146	11.371324	1.1138111	1.09	43.3	33.9	22.8	3.641313297	0.610486499	8.762068359	0.743697593	20	10
"HO2"	300	1.2205045	38.81204192	46.70463393	13.26282	2.27886213	0.748230346	58.0555555533333	3.05555555566667	5	67.7977489936049	0.896811126333333	0.604616348333333	0.359250605666667	0.198512088666667	12.396618	5.32	2.835827298	350.7785554	22.01	26.31671169	28.9754334319418	4.476	5.58	1.333249098	12.0820863	0.6375185	1.33	19.2	52.5199999999999	28.2800000000001	2.721933734	0.223717102	7.540231938	0.974477138	22	9
"HO3"	380	1.9528072	15.86655857	60.37428393	21.80635	4.87599541033333	0.744046532333333	40.2777777766667	1.38888888866667	11.6666666666667	56.6505202466129	0.264860855	0.539363854666667	0.312265086333333	0.501535362666667	12.7510783333333	5.73	3.73006451	315.3105216	21.79	25.32358531	16.9550869293371	4.381	5.2	1.798650272	12.945309	0.8366072	1.16	66.25	16.8750000000002	16.8749999999998	3.022934218	0.326527251	8.023054167	0.974306131	29	6
"HO4"	403	1.1391375	17.41253	60.6183909	20.82994	4.80468352533333	0.700086489333333	50.5555555566667	2.22222222233333	3.05555555533333	61.3084285155141	0.246911669	0.363163862666667	0.198300923333333	0.224259196	11.544	4.99	1.814514026	346.460467	21.73	26.3605965	23.1437467158522	4.504	4.73	2.246955506	13.6400122	0.7153247	1.07	44.45	32.4041666666669	23.1458333333331	3.466118294	0.671096071	7.687687646	0.768481576	23	2
